timestamp (unix)	asset_composition (text)	asset_amounts (amounts)	btc_price ($)	total_portfolio_value ($)	pnl ($)	return (%)	apr (%)	net_gain_vs_hold ($)	capital_used_in_trading ($)	total_capital_locked ($)	lp_fees_earned ($)	trading_fees_paid ($)	gas_fees_paid ($)	max_drawdown (%)	max_gain (%)	impermanent_loss (%)	asset_exposure (%)	rebalancing_actions (#)	notes (text)
1749772800	cbBTC,USDC	0.04622396,5186.99	106099.69641503203	10419.45	419.45	4.194518	26.94	452.458602	10091.34	10091.34	328.114787	0.000000	5.000000	7.033089	6.457067	-0.000548	0.00	1	
1749859200	cbBTC,USDC	0.04622396,5186.99	105493.96914033942	10396.19	396.19	3.961854	26.74	457.548975	10063.34	10063.34	332.847514	0.000000	5.000000	7.033089	6.457067	-0.001906	0.00	1	
1749945600	cbBTC,USDC	0.04622396,5186.99	105576.77040809351	10404.72	404.72	4.047150	26.54	462.202276	10067.17	10067.17	337.549704	0.000000	5.000000	7.033089	6.457067	-0.001672	0.00	1	
1750032000	cbBTC,USDC	0.04622396,5186.99	106811.68504217618	10472.71	472.71	4.727064	26.85	472.381911	10124.25	10124.25	348.458484	0.000000	5.000000	7.033089	6.457067	-0.000000	0.00	1	
1750118400	cbBTC,USDC	0.04622396,5186.99	104628.23561570676	10386.16	386.16	3.861639	27.42	488.056290	10023.32	10023.32	362.843665	0.000000	5.000000	7.033089	6.457067	-0.005299	0.00	1	
1750204800	cbBTC,USDC	0.04622396,5186.99	104873.39102078867	10412.09	412.09	4.120903	27.99	502.505808	10034.65	10034.65	377.437933	0.000000	5.000000	7.033089	6.457067	-0.004163	0.00	1	
1750291200	cbBTC,USDC	0.04622396,5186.99	104726.63412202956	10411.68	411.68	4.116759	27.91	508.961797	10027.87	10027.87	383.807271	0.000000	5.000000	7.033089	6.457067	-0.004826	0.00	1	
1750377600	cbBTC,USDC	0.04622396,5186.99	103320.34149339482	10359.97	359.97	3.599674	28.36	523.087972	9962.86	9962.86	397.103114	0.000000	5.000000	7.033089	6.457067	-0.013750	0.00	1	
1750464000	cbBTC,USDC	0.04622396,5186.99	102149.59241628287	10316.06	316.06	3.160557	28.56	533.984190	9908.75	9908.75	407.308073	0.000000	5.000000	7.033089	6.457067	-0.024819	0.00	1	
1750550400	cbBTC,USDC	0.04622396,5186.99	100979.8060013379	10291.99	291.99	2.919911	30.19	564.682505	9854.68	9854.68	437.315699	0.000000	5.000000	7.033089	6.457067	-0.039302	0.00	1	
1750636800	cbBTC,USDC	0.04622396,5186.99	105401.81561813636	10525.19	525.19	5.251857	31.68	590.863374	10059.08	10059.08	466.107502	0.000000	5.000000	7.033089	6.457067	-0.002185	0.00	1	
1750723200	cbBTC,USDC	0.04622396,5186.99	106084.62375113484	10570.67	570.67	5.706659	32.09	604.378335	10090.64	10090.64	480.025620	0.000000	5.000000	7.033089	6.457067	-0.000572	0.00	1	
1750809600	cbBTC,USDC	0.04622396,5186.99	107389.28577840263	10641.26	641.26	6.412646	32.23	613.900042	10150.95	10150.95	490.317653	0.000000	5.000000	7.033089	6.457067	-0.000372	0.00	1	
1750896000	cbBTC,USDC	0.04622396,5186.99	106980.27198569683	10630.98	630.98	6.309782	32.25	622.761382	10132.04	10132.04	498.937494	0.000000	5.000000	7.033089	6.457067	-0.000034	0.00	1	
1750982400	cbBTC,USDC	0.04622396,5186.99	107064.57289577948	10642.13	642.13	6.421254	32.18	629.962039	10135.94	10135.94	506.187926	0.000000	5.000000	7.033089	6.457067	-0.000074	0.00	1	
1751068800	cbBTC,USDC	0.04622396,5186.99	107380.61526225832	10658.00	658.00	6.579953	31.72	631.036691	10150.55	10150.55	507.449182	0.000000	5.000000	7.140279	6.579953	-0.000361	0.00	1	
1751155200	cbBTC,USDC	0.04622396,5186.99	108402.74898862687	10708.99	708.99	7.089902	31.43	634.180948	10197.79	10197.79	511.196949	0.000000	5.000000	7.582465	7.089902	-0.002757	0.00	1	
1751241600	cbBTC,USDC	0.04622396,5186.99	107158.55825277335	10657.78	657.78	6.577844	31.32	641.221211	10140.28	10140.28	517.502591	0.000000	5.000000	7.582465	7.089902	-0.000137	0.00	1	
1751328000	cbBTC,USDC	0.04622396,5186.99	105676.3198489955	10597.04	597.04	5.970447	31.30	649.871626	10071.77	10071.77	525.277832	0.000000	5.000000	7.582465	7.089902	-0.001410	0.00	1	
1751414400	cbBTC,USDC	0.04622396,5186.99	108847.69810015803	10752.56	752.56	7.525646	31.36	656.925385	10218.36	10218.36	534.204101	0.000000	5.000000	7.956985	7.525646	-0.004487	0.00	1	
1751500800	cbBTC,USDC	0.04622396,5186.99	109632.88717607754	10798.95	798.95	7.989497	31.49	666.552351	10254.66	10254.66	544.294675	0.000000	5.000000	8.352340	7.989497	-0.008537	0.00	1	
1751587200	cbBTC,USDC	0.04622396,5186.99	108039.6068526508	10730.89	730.89	7.308890	31.34	673.080015	10181.01	10181.01	549.881602	0.000000	5.000000	8.352340	7.989497	-0.001652	0.00	1	
1751673600	cbBTC,USDC	0.04622396,5186.99	108224.45141877388	10740.96	740.96	7.409639	30.96	674.501622	10189.55	10189.55	551.412349	0.000000	5.000000	8.352340	7.989497	-0.002180	0.00	1	
1751760000	cbBTC,USDC	0.04622396,5186.99	109255.59614828744	10793.17	793.17	7.931717	30.76	678.436917	10237.22	10237.22	555.956474	0.000000	5.000000	8.352340	7.989497	-0.006434	0.00	1	
1751846400	cbBTC,USDC	0.04622396,5186.99	108267.0412070896	10753.67	753.67	7.536732	30.67	685.217062	10191.52	10191.52	562.152935	0.000000	5.000000	8.352340	7.989497	-0.002311	0.00	1	
1751932800	cbBTC,USDC	0.04622396,5186.99	108955.92609366021	10790.76	790.76	7.907574	30.52	690.051522	10223.36	10223.36	567.394141	0.000000	5.000000	8.352340	7.989497	-0.004970	0.00	1	
1752019200	cbBTC,USDC	0.04622396,5186.99	111327.78909071606	10909.11	909.11	9.091135	30.58	697.370248	10333.00	10333.00	576.113311	0.000000	5.000000	9.277828	9.091135	-0.021500	0.00	1	
1752105600	cbBTC,USDC	0.04622396,5186.99	115998.47488538575	11143.29	1143.29	11.432893	31.17	712.890736	10548.90	10548.90	594.391562	0.000000	5.000000	11.184351	11.432893	-0.085172	0.00	1	
1752192000	cbBTC,USDC	0.04622396,5186.99	117536.44289170786	11232.29	1232.29	12.322858	31.72	729.888242	10619.99	10619.99	612.297146	0.000000	5.000000	11.888062	12.322858	-0.114482	0.00	1	End
